date,open,high,low,close,volume,prev_close,daily_return,buy_signal
2021-01-04,15132.9296875,15532.3330078125,14999.7958984375,15487.955078125,1415653,,,False
2021-01-05,15487.955078125,16331.138671875,15487.955078125,15798.6015625,2358217,15487.955078125,0.02005729502752454,True
2021-01-06,15976.1142578125,15976.1142578125,15132.9296875,15177.30859375,1640446,15798.6015625,-0.03932582047164974,False
2021-01-07,15221.6865234375,15443.5771484375,15088.5517578125,15221.6865234375,1152770,15177.30859375,0.0029239656961165556,False
2021-01-08,15354.8203125,15798.6015625,15221.6865234375,15754.2236328125,1598467,15221.6865234375,0.034985420870087505,True
2021-01-11,15931.736328125,15931.736328125,15221.6865234375,15754.2236328125,2055501,15754.2236328125,0.0,False
2021-01-12,15709.845703125,16331.138671875,15487.955078125,15842.9794921875,1793718,15754.2236328125,0.00563378186343258,False
2021-01-13,16198.0048828125,17795.615234375,16064.8701171875,16863.67578125,5530851,15842.9794921875,0.0644257785958649,True
2021-01-14,16819.296875,16996.810546875,16153.6259765625,16242.3828125,1731693,16863.67578125,-0.03684208453774883,False
2021-01-15,16286.7607421875,16686.1640625,16242.3828125,16508.650390625,1164497,16242.3828125,0.01639338151296882,True
2021-01-18,16553.029296875,17129.9453125,16109.248046875,16686.1640625,1594660,16508.650390625,0.010752767044834095,True
2021-01-19,16908.0546875,17129.9453125,16553.029296875,16863.67578125,1003786,16686.1640625,0.01063825802533817,True
2021-01-20,16863.67578125,17973.12890625,16730.541015625,17973.12890625,2337596,16863.67578125,0.06578951940202464,True
2021-01-21,17884.37109375,17884.37109375,16774.919921875,17085.56640625,14395523,17973.12890625,-0.049382748247655296,False
2021-01-22,17085.56640625,17174.322265625,16153.6259765625,16198.0048828125,3833674,17085.56640625,-0.05194803042132831,False
2021-01-25,16242.3828125,16641.78515625,16153.6259765625,16419.89453125,2013559,16198.0048828125,0.013698578932578562,True
2021-01-26,16419.89453125,16597.408203125,15665.466796875,15754.2236328125,2611384,16419.89453125,-0.04054050999965981,False
2021-01-27,16020.4921875,16020.4921875,15221.6865234375,15621.0888671875,1904090,15754.2236328125,-0.008450734782494154,False
2021-01-28,15177.30859375,15443.5771484375,14911.0400390625,15044.173828125,1696258,15621.0888671875,-0.03693180699293792,False
