train_years,test_years,take_profit,stop_loss,train_sharpe,test_sharpe
"[np.int32(2018), np.int32(2019), np.int32(2020)]",[np.int32(2021)],0.015,-0.005,-0.145,-0.322
"[np.int32(2019), np.int32(2020), np.int32(2021)]",[np.int32(2022)],0.015,-0.005,-0.151,-0.248
"[np.int32(2020), np.int32(2021), np.int32(2022)]",[np.int32(2023)],0.015,-0.005,-0.137,-0.264
"[np.int32(2021), np.int32(2022), np.int32(2023)]",[np.int32(2024)],0.025,-0.005,-0.207,-0.261
"[np.int32(2022), np.int32(2023), np.int32(2024)]",[np.int32(2025)],0.015,-0.005,-0.227,-0.061
"[np.int32(2023), np.int32(2024), np.int32(2025)]",[np.int32(2026)],0.01,-0.005,-0.094,0.619
