take_profit,stop_loss,trades,sharpe
0.01,-0.005,713,0.111
0.01,-0.01,713,-0.103
0.01,-0.015,713,-0.186
0.015,-0.005,713,0.069
0.015,-0.01,713,-0.087
0.015,-0.015,713,-0.166
0.02,-0.005,713,0.016
0.02,-0.01,713,-0.095
0.02,-0.015,713,-0.163
0.025,-0.005,713,-0.023
0.025,-0.01,713,-0.103
0.025,-0.015,713,-0.158
