date,open,high,low,close,volume,prev_close,daily_return,buy_signal
2021-01-04,81000.0,84400.0,80200.0,83000.0,38655276,,,False
2021-01-05,81600.0,83900.0,81600.0,83900.0,35335669,83000.0,0.010843373493975903,True
2021-01-06,83300.0,84500.0,82100.0,82200.0,42089013,83900.0,-0.02026221692491061,False
2021-01-07,82800.0,84200.0,82700.0,82900.0,32644642,82200.0,0.00851581508515815,False
2021-01-08,83300.0,90000.0,83000.0,88800.0,59013307,82900.0,0.07117008443908324,True
2021-01-11,90000.0,96800.0,89500.0,91000.0,90306177,88800.0,0.024774774774774775,True
2021-01-12,90300.0,91400.0,87800.0,90600.0,48682416,91000.0,-0.004395604395604396,False
2021-01-13,89800.0,91200.0,89100.0,89700.0,36068848,90600.0,-0.009933774834437087,False
2021-01-14,88700.0,90000.0,88700.0,89700.0,26393970,89700.0,0.0,False
2021-01-15,89800.0,91800.0,88000.0,88000.0,33431809,89700.0,-0.0189520624303233,False
2021-01-18,86600.0,87300.0,84100.0,85000.0,43227951,88000.0,-0.03409090909090909,False
2021-01-19,84500.0,88000.0,83600.0,87000.0,39895044,85000.0,0.023529411764705882,True
2021-01-20,89000.0,89000.0,86500.0,87200.0,25211127,87000.0,0.0022988505747126436,False
2021-01-21,87500.0,88600.0,86500.0,88100.0,25318011,87200.0,0.010321100917431193,True
2021-01-22,89000.0,89700.0,86800.0,86800.0,30861661,88100.0,-0.014755959137343927,False
2021-01-25,87000.0,89900.0,86300.0,89400.0,27258534,86800.0,0.029953917050691243,True
2021-01-26,88800.0,89200.0,86500.0,86700.0,33178936,89400.0,-0.030201342281879196,False
2021-01-27,86600.0,87700.0,85600.0,85600.0,26423070,86700.0,-0.012687427912341407,False
2021-01-28,83200.0,85600.0,83200.0,83700.0,31859808,85600.0,-0.02219626168224299,False
2021-01-29,84500.0,85000.0,82000.0,82000.0,39615978,83700.0,-0.02031063321385902,False
2021-02-01,81700.0,83400.0,81000.0,83000.0,28046832,82000.0,0.012195121951219513,True
2021-02-02,84100.0,86400.0,83700.0,84400.0,26302077,83000.0,0.016867469879518072,True
2021-02-03,84800.0,85400.0,83400.0,84600.0,22112205,84400.0,0.002369668246445498,False
2021-02-04,83500.0,83800.0,82100.0,82500.0,24171688,84600.0,-0.024822695035460994,False
2021-02-05,83100.0,84000.0,82500.0,83500.0,18036835,82500.0,0.012121212121212121,True
2021-02-08,83800.0,84200.0,83000.0,83000.0,15338765,83500.0,-0.005988023952095809,False
2021-02-09,84000.0,84800.0,82700.0,82700.0,20898332,83000.0,-0.0036144578313253013,False
2021-02-10,82600.0,82600.0,81600.0,81600.0,23025766,82700.0,-0.013301088270858524,False
2021-02-15,83800.0,84500.0,83300.0,84200.0,23529706,81600.0,0.031862745098039214,True
2021-02-16,84500.0,86000.0,84200.0,84900.0,20483100,84200.0,0.00831353919239905,False
2021-02-17,83900.0,84200.0,83000.0,83200.0,18307735,84900.0,-0.020023557126030624,False
2021-02-18,83200.0,83600.0,82100.0,82100.0,21327683,83200.0,-0.013221153846153846,False
2021-02-19,82300.0,82800.0,81000.0,82600.0,25880879,82100.0,0.0060901339829476245,False
2021-02-22,83800.0,84200.0,82200.0,82200.0,25419886,82600.0,-0.004842615012106538,False
2021-02-23,81200.0,82900.0,81100.0,82000.0,20587314,82200.0,-0.0024330900243309003,False
2021-02-24,81800.0,83600.0,81300.0,82000.0,26807651,82000.0,0.0,False
2021-02-25,84000.0,85400.0,83000.0,85300.0,34155986,82000.0,0.04024390243902439,True
2021-02-26,82800.0,83400.0,82000.0,82500.0,38520800,85300.0,-0.032825322391559206,False
2021-03-02,85100.0,85300.0,83000.0,83600.0,33498180,82500.0,0.013333333333333334,True
2021-03-03,83500.0,84000.0,82800.0,84000.0,19882132,83600.0,0.004784688995215311,False
2021-03-04,82600.0,83200.0,82200.0,82400.0,24348331,84000.0,-0.01904761904761905,False
2021-03-05,81100.0,82600.0,81100.0,82100.0,20508971,82400.0,-0.0036407766990291263,False
2021-03-08,82900.0,83000.0,81600.0,82000.0,17641256,82100.0,-0.001218026796589525,False
2021-03-09,81400.0,81900.0,80600.0,81400.0,25420764,82000.0,-0.007317073170731708,False
2021-03-10,82400.0,82500.0,80700.0,80900.0,20038422,81400.0,-0.006142506142506142,False
2021-03-11,81000.0,82500.0,81000.0,82000.0,23818297,80900.0,0.013597033374536464,True
2021-03-12,83100.0,83500.0,82400.0,82800.0,13530573,82000.0,0.00975609756097561,False
2021-03-15,82800.0,82900.0,81800.0,81800.0,13735798,82800.0,-0.012077294685990338,False
